short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000520	0.001776	59.995819	4000	True	0.001798
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000503	0.001883	61.110354	4000	True	0.001874
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000553	0.001848	62.330588	4000	True	0.001829
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000547	0.001803	63.504950	4000	True	0.001928
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000630	0.001858	64.620919	4000	True	0.001890
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000647	0.001875	65.770305	4000	True	0.001802
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000603	0.001826	66.930643	4000	True	0.001848
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000631	0.001854	68.065429	4000	True	0.001882
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000600	0.001838	69.221476	4000	True	0.001830
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000555	0.001805	70.367192	4000	True	0.001886
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000537	0.001738	71.490309	4000	True	0.001868
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000485	0.001681	72.576004	4000	True	0.001798
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000533	0.001725	73.642238	4000	True	0.001768
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000523	0.001730	74.725046	4000	True	0.001680
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000544	0.001741	75.820964	4000	True	0.001713
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000538	0.001734	76.906193	4000	True	0.001730
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000479	0.001675	77.979031	4000	True	0.001725
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000512	0.001695	79.035204	4000	True	0.001729
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000503	0.001690	80.091020	4000	True	0.001679
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000509	0.001708	81.152616	4000	True	0.001707
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000542	0.001744	82.229295	4000	True	0.001729
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000546	0.001741	83.332884	4000	True	0.001724
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000480	0.001785	84.432153	4000	True	0.001741
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000509	0.001761	85.583088	4000	True	0.001757
